,state,ft,bt,km,transmission,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Year of Manufacture,Features,Mileage,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Fuel Suppy System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,Cargo Volumn
1072,kolkata,Diesel,SUV,"42,000",Manual,1,Jeep,Jeep Compass,2018,5931,2.0 Longitude BSIV,999000.0,2018,Comprehensive,Diesel,5.0,42000,WB02,1956 cc,Manual,2018.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",17.1,1956,170bhp@3750rpm,350,Black,2.0-Litre 4-Cyl Multijet II Engine,1956,350Nm@1750-2500rpm,4,CRDI,Yes,No,4395,1818,1640,2636,1551 kgs,6 Speed,4X2,power,5.0,Disc,Discs,"Radial, Tubless",5,355
1073,kolkata,Petrol,SUV,"28,400",Manual,1,Hyundai,Hyundai Venue,2020,6891,S Turbo BSIV,699000.0,2020,Third Party,Petrol,5.0,28400,WB08,998 cc,Manual,2020.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio",18.27,998,118.35bhp@6000rpm,171,Blue,,998,171.6Nm@1500-4000rpm,3,GDi,Yes,,3995,1770,1605,2500,1200,6-Speed,FWD,Power,5.0,Disc,Drum,Radial,5,355
1074,kolkata,Diesel,SUV,"20,857",Automatic,1,Mahindra,Mahindra Thar,2021,8076,LX 4-Str Hard Top Diesel AT BSVI,1750000.0,2021,Comprehensive,Diesel,4.0,20857,OD02,2184 cc,Automatic,2021.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio",19.7,2184,130bhp@3750rpm,300,Grey,mHawk 130 Engine,2184,300Nm@1600-2800rpm,4,,Yes,,3985,1855,1844,2450,1755,6 Speed,4X4,Power,5.0,Disc,Drum,"Radial, Tubeless",3,355
1075,kolkata,Diesel,Sedan,"61,000",Manual,1,Hyundai,Hyundai Verna,2009,1796,CRDi,175000.0,2009,Third Party,Diesel,5.0,61000,WB06,1493 cc,Manual,2009.0,"Remote Trunk Opener,Remote Fuel Lid Opener,Air Conditioner,Heater,Fog Lights Front,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player",16.8,1493,"110 @ 4,000 (PS@rpm)",24,Red,In-Line Engine,1493,"24 @ 1,900-2,750 (kgm@rpm)",4,CRDI,No,No,4310,1695,1490,2500,1173kg,5 Speed,FWD,Power,5.05,Ventilated Disc,Disc & Drum,"Tubeless,Radial",4,355
1076,kolkata,Diesel,SUV,"75,760",Manual,1,Mahindra,Mahindra XUV500,2015,8182,W8 FWD,599000.0,2015,Comprehensive,Diesel,7.0,75760,WB26,2179 cc,Manual,2015.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",15.1,2179,140bhp@3750rpm,330,Silver,mHawk Diesel Engine,2179,330Nm@1600-2800rpm,4,Direct Injection,Yes,No,4585,1890,1785,2700,1635,6 Speed ,AWD,Power,5.6,Disc & Caliper Type,Disc & Caliper Type,"Tubeless,Radial ",5,355
1077,kolkata,Petrol,Hatchback,"31,000",Manual,1,Hyundai,Hyundai Grand i10,2015,1552,Magna,335000.0,2015,Third Party insurance,Petrol,5.0,31000,WB02,1197 cc,Manual,2015.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Centeral Locking,Power Door Locks",18.9,1197,82bhp@6000rpm,114,Orange, Kappa VTVT Petrol Engine,1197,114Nm@4000rpm,4,MPFI,No,No,3765,1660,1520,2425,935kg,5 Speed,FWD,Power,4.8,Disc,Drum,Tubeless,5,355
1078,kolkata,Diesel,Sedan,"54,000",Automatic,1,Hyundai,Hyundai Verna,2015,1839,1.6 CRDi AT SX,450000.0,2015,Third Party insurance,Diesel,5.0,54000,WB06,1582 cc,Automatic,2015.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",19.08,1582,126.2bhp@4000rpm,259,Grey,U2 VGT Diesel Engine ,1582,259.9Nm@1900-2750rpm,4,CRDI,Yes,No,4375,1700,1475,2570,1270,4 Speed ,FWD,Power,5.2,Disc,Drum,Tubeless,4,355
1079,kolkata,Petrol,Hatchback,"60,000",Manual,2,Volkswagen,Volkswagen Polo,2014,1970,1.2 MPI Trendline,300000.0,2014,Third Party insurance,Petrol,5.0,60000,WB02,1198 cc,Manual,2014.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Rear,Centeral Locking,Child Safety Locks,Radio",16.47,1198,74bhp@5400rpm,110,Others,MPI Petrol Engine,1198,110Nm@3750rpm,3,MPFI ,No,No,3971,1682,1469,2469,1033kg,5 Speed,FWD,Power,4.97,Disc,Drum,"Tubeless,Radial",5,355
1080,kolkata,Petrol,Hatchback,"68,943",Manual,1,Honda,Honda Brio,2013,1188,S MT,199000.0,2013,Third Party insurance,Petrol,5.0,68943,WB02,1198 cc,Manual,2013.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Centeral Locking,Power Door Locks,Radio",19.4,1198,86.8bhp@6000rpm,109,Silver,i-VTEC Engine,1198,109Nm@4500rpm,4,PGM - Fi,No,No,3610,1680,1500,2345,925kg,5 Speed,FWD,Power,4.5,Disc,Drum,"Tubeless,Radial",5,355
1081,kolkata,Petrol,Hatchback,"8,582",Manual,1,Maruti,Maruti Alto 800,2022,7277,VXI Plus BSVI,399000.0,2022,Comprehensive,Petrol,5.0,8582,WB44,796 cc,Manual,2022.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio",22.05,796,47.33bhp@6000rpm,69,Grey,F8D Petrol Engine,796,69Nm@3500rpm,3,,,,3445,1515,1475,2360,762kg,5 Speed,,,4.6,Disc,Drum,Tubeless Tyres,5,355
