,state,ft,bt,km,transmission,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Year of Manufacture,Features,Mileage,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Fuel Suppy System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,Cargo Volumn
343,hyderabad,Diesel,SUV,"1,00,000",Automatic,3,Mercedes-Benz,Mercedes-Benz M-Class,2011,4659,ML 350 4Matic,2400000.0,2011,Third Party insurance,Diesel,5,100000.0,,2987 cc,Automatic,2011.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player",19.7,2987.0,165 [224] at 3800,510,Others,V-Type Engine,2987.0,510 @ 1600-2400,6,,Yes,No,4781,1911,1779,2915,2185kg,7 Speed,AWD,Power,5.8,Ventilated Disc ,Disc ,"Tubeless,Radial",4,355
344,hyderabad,Petrol,Hatchback,"56,129",Manual,1,Hyundai,Hyundai Grand i10,2018,5607,1.2 Kappa Asta,543000.0,2018,Third Party insurance,Petrol,5,56129.0,TS13,1197 cc,Manual,2018.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",18.9,1197.0,81.86bhp@6000rpm,113,Red,Kappa VTVT Petrol Engine,1197.0,113.75nm@4000rpm,4,MPFI,No,No,3765,1660,1520,2425,1060,5 Speed,FWD,Power,4.8,Disc,Drum,Tubeless,5,256
345,hyderabad,Diesel,MUV,"70,599",Manual,1,Maruti,Maruti Ertiga,2019,4045,SHVS ZDI Plus,1100000.0,2019,Comprehensive,Diesel,7,70599.0,TS29,1248 cc,Manual,2019.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player",24.52,1248.0,88.5bhp@4000rpm,200,Red,D13A SHVS Engine,1248.0,200Nm@1750rpm,4,CRDI,Yes,No,4296,1695,1685,2740,1265kg,5 Speed,FWD,Power,5.2,Ventilated Disc,Drum,"Tubeless, Radial",5,355
346,hyderabad,Diesel,Sedan,"97,208",Automatic,1,Honda,Honda Amaze,2018,6422,V CVT Diesel BSIV,743000.0,2018,Comprehensive,Diesel,5,97208.0,TS08,1498 cc,Automatic,2018.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",23.8,1498.0,78.9bhp@3600rpm,160,White,i-DTEC Diesel Engine,1498.0,160Nm@1750rpm,4,CRDi,Yes,No,3995,1695,1501,2470,1039kg,5 Speed,FWD,Power,4.9,Disc,Drum,"Tubeless,Radial",4,420
347,hyderabad,Petrol,Sedan,"53,509",Manual,2,Skoda,Skoda Rapid,2020,7838,1.0 TSI Style,997000.0000000001,2020,Third Party,Petrol,5,53509.0,TS08,999 cc,Manual,2020.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",18.97,999.0,108.62bhp@5000-5500rpm,175,Red,1.0L TSI Petrol,999.0,175nm@1750-4000rpm,3,Direct Injection,Yes,No,4413,1699,1466,2552,1112-1138kg,6 Speed,FWD,Power,5.3,Disc,Drum,"Tubeless,Radial",4,460
348,hyderabad,Diesel,SUV,"52,000",Manual,1,Jeep,Jeep Compass,2017,5933,2.0 Sport,1599000.0,2017,Third Party insurance,Diesel,5,52000.0,TS07,1956 cc,Manual,2017.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player",17.1,1956.0,170bhp@3750rpm,350,White,2.0-Litre 4-Cyl Multijet II Engine,1956.0,350Nm@1750-2500rpm,4,CRDI,Yes,No,4395,1818,1640,2636,1537 kgs,6 Speed,4X2,power,5.0,Disc,Discs,"Radial, Tubless",5,355
349,hyderabad,Petrol,Hatchback,"97,621",Manual,1,Hyundai,Hyundai i20,2021,8153,Sportz BSVI,811000.0,2021,Third Party insurance,Petrol,5,97621.0,TS01,1197 cc,Manual,2021.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",21.0,1197.0,81.80bhp@6000rpm,114,White,1.2 l Kappa petrol,1197.0,114.74Nm@4200rpm,4,,No,,3995,1775,1505,2580,1120,5 Speed,,Electric,5.0,Disc,Drum,"Tubeless, Radial",5,311
350,hyderabad,Petrol,Hatchback,"1,13,000",Manual,1,Hyundai,Hyundai i10,2009,1589,Era 1.1,250000.0,2009,Third Party insurance,Petrol,5,113000.0,AP28,1086 cc,Manual,2009.0,"Power Steering,Remote Trunk Opener,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Child Safety Locks",19.81,1086.0,68.05bhp@5500rpm,99,Red,IRDE2 Engine,1086.0,99.04Nm@4500rpm,4,MPFI,No,No,3585,1595,1550,2380,860kg,5 Speed,FWD,Power,4.7,Ventilated Disc,Drum,Tubeless,5,355
351,hyderabad,Diesel,MUV,"1,52,000",Manual,1,Toyota,Toyota Innova,2008,2301,2.5 G4 Diesel 8-seater,650000.0,2008,Third Party insurance,Diesel,8,152000.0,AP21,2494 cc,Manual,2008.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Centeral Locking,Power Door Locks,Speakers Front",12.8,2494.0,"102@3,600 (PS@rpm)",20,Red,In-Line Engine,2494.0,20.4@1400-3400 (kgm@rpm),4,CRDI,No,No,4047,1709,1567,2523,1670 kg,5 Speed,,Power,5.4,Ventilated Disc,Drum,"Tubeless,Radial",5,355
352,hyderabad,Diesel,SUV,"78,000",Manual,1,Maruti,Maruti SX4 S Cross,2018,6026,Zeta DDiS 200 SH,975000.0,2018,Third Party insurance,Diesel,5,78000.0,TS09,1248 cc,Manual,2018.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",25.1,1248.0,88.5bhp@4000rpm,200,White,DDiS 200 Diesel Engine,1248.0,200Nm@1750rpm,4,DDIS,Yes,No,4300,1785,1595,2600,1230Kg,5 Speed,FWD,Power,5.0,Disc,Disc,"Tubeless,Radial",5,355
