,state,ft,bt,km,transmission,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,Engine Displacement,Transmission,Year of Manufacture,RTO,Features,Mileage,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Fuel Suppy System,Turbo Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Drive Type,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,Cargo Volumn,Super Charger,Turning Radius
726,delhi,Petrol,Sedan,"34,000",Manual,1,Toyota,Toyota Etios,2017,5417,1.5 V,480999.99999999994,2017,Comprehensive,Petrol,5.0,34000,1496 cc,Manual,2017,UP16,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player",16.78,1496,88.73bhp@5600rpm,132,Silver,Petrol Engine,1496,132Nm@3000rpm,4,EFI,No,4369,1695,1510,2550,945kg,5 Speed,FWD,Power,Ventilated Disc,Drum,Tubeless,4,595,No,4.9
727,delhi,Petrol,Sedan,"67,000",Manual,1,Honda,Honda Amaze,2015,1168,S i-Vtech,385000.0,2015,Comprehensive,Petrol,5.0,67000,1198 cc,Manual,2015,DL7C,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Centeral Locking,Power Door Locks,Radio",18.0,1198,86.7bhp@6000rpm,109,White,i-VTEC Petrol Engine,1198,109Nm@4500rpm,4,,No,3990,1680,1505,2405,950kg,5 Speed,FWD,Power,Disc,Drum,"Tubeless,Radial",4,355,No,4.5
728,delhi,Petrol,Hatchback,"45,000",Manual,1,Volkswagen,Volkswagen Polo,2019,6300,1.0 MPI Highline,699000.0,2019,Comprehensive,Petrol,5.0,45000,999 cc,Manual,2019,DL8C,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",18.78,999,75bhp@6200rpm,95,White,MPI Petrol Engine,999,95Nm@3000-4300rpm,3,MPFI,No,3971,1682,1469,2469,1044Kg,5 Speed,FWD,Power,Disc,Drum,"Tubeless,Radial",5,280,No,4.97
729,delhi,Petrol,Sedan,"64,000",Manual,1,Maruti,Maruti Swift Dzire,2013,4210,VXI,331000.0,2013,Comprehensive,Petrol,5.0,64000,1197 cc,Manual,2013,DL3C,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Centeral Locking,Power Door Locks,Cd Player",20.85,1197,83.14bhp@6000rpm,115,White,K Series VVT Engine,1197,115Nm@4000rpm,4,MPFI,No,3995,1695,1555,2430,945kg,5 Speed,FWD,Power,Ventilated Disc,Drum,"Tubeless,Radial",4,355,No,4.8
730,delhi,Petrol,Hatchback,"58,000",Manual,2,Chevrolet,Chevrolet Beat,2013,438,LT,178000.0,2013,Comprehensive,Petrol,5.0,58000,1199 cc,Manual,2013,DL8C,"Power Steering,Power Windows Front,Air Conditioner,Heater,Fog Lights Front,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Day Night Rear View Mirror,Cd Player",18.6,1199,79.4bhp@6200rpm,108,Silver,Smartech Engine,1199,108Nm@4400rpm,4,MPFI,No,3640,1595,1520,2375,990,5 Speed,FWD,Power,Disc,Drum,"Tubeless,Radial",5,355,No,4.85
731,delhi,Petrol,SUV,"48,000",Automatic,2,Hyundai,Hyundai Creta,2017,6432,1.6 SX Automatic,925000.0,2017,Comprehensive,Petrol,5.0,48000,1591 cc,Automatic,2017,DL8C,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",14.8,1591,121.3bhp@6400rpm,1370,White,VTVT Petrol Engine,1591,151NM@4850rpm,4,MPFi,No,4270,1780,1665,2590,1300,6 Speed,FWD,Power,Disc,Drum,Tubeless,5,400,No,5.3
732,delhi,Petrol,Hatchback,"70,000",Manual,1,Maruti,Maruti Ritz,2013,4141,VXi,290000.0,2013,Comprehensive,Petrol,5.0,70000,1197 cc,Manual,2013,DL07,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Centeral Locking,Power Door Locks",18.5,1197,85.80bhp@6000rpm,114,Silver,K Series Petrol Engine,1197,114Nm@4000rpm,4,MPFI,No,3775,1680,1620,2360,1015kg,5 Speed,FWD,Power,Ventilated Disc,Drum,"Tubeless,Radial",5,355,No,4.7
733,delhi,Petrol,Sedan,"59,863",Automatic,2,Maruti,Maruti Ciaz,2017,5727,1.4 AT Alpha,570000.0,2017,Comprehensive,Petrol,5.0,59863,1373 cc,Automatic,2017,HR87,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",19.12,1373,91.1bhp@6000rpm,130,Black,k14B VVT Engine,1373,130Nm@4000rpm,4,MPFI,No,4490,1730,1485,2650,1030kg,4 Speed,FWD,Power,Ventilated Disc,Drum,"Tubeless, Radial",4,355,No,5.4
734,delhi,Cng,Hatchback,"18,468",Manual,1,Maruti,Maruti Alto 800,2022,7417,LXI Opt S-CNG BSVI,492000.0,2022,Zero Dep,CNG,4.0,18468,796 cc,Manual,2022,UP80,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Child Safety Locks",19.7,796,40.36bhp@6000rpm,60,Silver,F8D Petrol Engine,796,60Nm@3500rpm,3,,,3445,1515,1475,2360,850kg,5 Speed,,,Disc,Drum,Tubeless Tyres,5,355,,4.6
735,delhi,Petrol,Hatchback,"42,173",Manual,2,Ford,Ford Freestyle,2018,6334,Trend Petrol BSIV,530000.0,2018,Third Party,Petrol,5.0,42173,1194 cc,Manual,2018,DL10,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",19.0,1194,94.68bhp@6500rpm,120,Silver,1.2 litre Petrol Engine,1194,120Nm@4250rpm,3,MPFI,No,3954,1737,1570,2490,1031Kg,5-Speed,FWD,Power,Ventilated Disc,Drum,Tubeless,5,257,No,5.0
